"Drug_Name","Year","Total Prescriptions","Total Patients","Total Cost","Out-Of-Pocket Cost","Total Cost Per Day","Out-Of-Pocket Cost Per Day"
"Amlodipine",2016,"75,201,622","14,177,857","$33.60","$4.15","$0.72","$0.09"
"Amlodipine",2017,"72,508,878","14,624,367","$19.98","$4.60","$0.41","$0.10"
"Amlodipine",2018,"75,902,784","15,858,849","$24.70","$4.79","$0.51","$0.11"
"Amlodipine",2019,"73,542,114","16,419,181","$22.74","$4.39","$0.37","$0.08"
"Amlodipine",2020,"69,786,684","16,799,810","$8.67","$3.77","$0.16","$0.08"
"Amlodipine",2021,"73,569,606","17,734,288","$8.99","$3.85","$0.14","$0.06"
"Amlodipine",2022,"70,766,211","17,789,649","$10.29","$3.68","$0.16","$0.06"
"Metoprolol",2013,"71,372,682","12,502,141","$25.12","$8.63","$0.52","$0.18"
"Metoprolol",2014,"72,320,918","12,950,948","$23.82","$8.95","$0.50","$0.18"
"Metoprolol",2015,"70,473,624","12,843,057","$23.29","$7.70","$0.54","$0.15"
"Metoprolol",2016,"74,378,584","13,632,392","$24.65","$6.87","$0.54","$0.14"
"Metoprolol",2017,"68,243,168","13,393,973","$22.71","$6.89","$0.48","$0.14"
"Metoprolol",2018,"71,670,196","14,600,708","$27.67","$7.78","$0.53","$0.16"
"Metoprolol",2019,"74,578,817","15,177,787","$22.37","$8.84","$0.41","$0.19"
"Metoprolol",2020,"66,413,692","15,007,908","$18.87","$7.47","$0.33","$0.14"
"Metoprolol",2021,"65,529,551","15,535,072","$19.27","$7.35","$0.30","$0.12"
"Metoprolol",2022,"65,245,216","15,542,999","$18.15","$6.73","$0.28","$0.12"
"Albuterol",2013,"46,332,130","14,674,247","$50.23","$16.57","$2.64","$0.82"
"Albuterol",2014,"48,189,599","15,419,433","$58.67","$13.99","$2.97","$0.61"
"Albuterol",2015,"49,747,147","15,579,282","$55.42","$13.81","$2.75","$0.66"
"Albuterol",2016,"47,109,711","15,169,742","$61.18","$13.77","$2.77","$0.61"
"Albuterol",2017,"50,286,686","16,599,932","$61.62","$14.84","$3.00","$0.74"
"Albuterol",2018,"60,526,457","19,211,178","$61.82","$14.84","$3.04","$0.70"
"Albuterol",2019,"60,679,987","19,085,418","$61.41","$14.07","$3.04","$0.84"
"Albuterol",2020,"61,948,347","17,902,020","$54.06","$11.12","$2.33","$0.52"
"Albuterol",2021,"61,469,064","18,070,429","$49.69","$9.18","$2.15","$0.44"
"Albuterol",2022,"59,075,269","19,265,334","$47.70","$8.05","$2.14","$0.39"
"Losartan",2013,"29,144,819","5,805,994","$39.59","$9.18","$0.93","$0.21"
"Losartan",2014,"37,330,149","7,205,493","$41.98","$7.23","$0.84","$0.18"
"Losartan",2015,"46,983,233","8,607,802","$34.95","$6.06","$1.13","$0.14"
"Losartan",2016,"49,281,054","9,217,855","$35.50","$6.03","$0.68","$0.11"
"Losartan",2017,"51,989,444","10,055,390","$22.44","$6.67","$0.33","$0.14"
"Losartan",2018,"50,536,190","11,164,888","$29.60","$6.06","$0.68","$0.14"
"Losartan",2019,"51,773,869","11,760,646","$32.79","$6.08","$0.57","$0.11"
"Losartan",2020,"54,815,411","12,690,563","$14.38","$5.15","$0.24","$0.08"
"Losartan",2021,"55,245,074","13,363,279","$15.84","$5.79","$0.23","$0.10"
"Losartan",2022,"53,555,510","13,150,031","$18.46","$6.32","$0.35","$0.12"
"Omeprazole",2013,"67,642,688","13,210,834","$45.86","$7.49","$1.20","$0.19"
"Omeprazole",2014,"71,850,961","13,881,471","$44.95","$8.13","$1.22","$0.22"
"Omeprazole",2015,"71,728,530","14,723,328","$46.23","$6.89","$1.40","$0.14"
"Omeprazole",2016,"70,626,980","14,161,009","$67.10","$6.66","$1.58","$0.15"
"Omeprazole",2017,"58,837,874","12,965,406","$57.11","$6.23","$1.45","$0.14"
"Omeprazole",2018,"58,384,320","13,420,487","$58.16","$6.28","$1.48","$0.14"
"Omeprazole",2019,"52,546,641","12,869,290","$33.05","$7.28","$0.63","$0.13"
"Omeprazole",2020,"56,300,064","13,879,629","$16.18","$6.75","$0.32","$0.12"
"Omeprazole",2021,"54,561,969","13,900,115","$17.02","$6.40","$0.33","$0.12"
"Omeprazole",2022,"52,132,950","13,802,111","$15.85","$5.96","$0.28","$0.10"
"Gabapentin",2013,"35,264,270","6,966,594","$75.38","$9.45","$2.17","$0.27"
"Gabapentin",2014,"39,361,473","7,596,001","$74.78","$9.10","$1.88","$0.22"
"Gabapentin",2015,"43,316,474","8,300,809","$94.96","$12.08","$2.04","$0.28"
"Gabapentin",2016,"44,154,514","8,721,755","$94.60","$8.63","$3.26","$0.27"
"Gabapentin",2017,"46,043,168","9,040,223","$96.12","$7.98","$1.25","$0.19"
"Gabapentin",2018,"45,586,654","9,289,873","$113.26","$7.76","$1.39","$0.18"
"Gabapentin",2019,"47,149,505","9,818,634","$56.57","$8.47","$1.44","$0.25"
"Gabapentin",2020,"49,961,066","10,571,700","$50.89","$8.38","$0.93","$0.19"
"Gabapentin",2021,"47,125,973","10,697,239","$79.94","$10.87","$1.63","$0.22"
"Gabapentin",2022,"40,141,486","9,889,546","$114.03","$10.93","$2.62","$0.29"
"Sertraline",2013,"35,885,370","6,235,144","$40.81","$8.34","$1.26","$0.25"
"Sertraline",2014,"37,723,879","6,680,944","$24.38","$5.63","$0.81","$0.16"
"Sertraline",2015,"38,894,933","7,084,085","$25.16","$4.59","$0.73","$0.12"
"Sertraline",2016,"37,105,238","7,008,048","$24.37","$5.51","$0.51","$0.13"
"Sertraline",2017,"38,296,630","7,061,873","$24.93","$6.52","$0.60","$0.14"
"Sertraline",2018,"38,383,042","7,529,389","$46.71","$7.00","$1.08","$0.15"
"Sertraline",2019,"37,157,933","7,723,122","$24.24","$6.67","$0.41","$0.13"
"Sertraline",2020,"38,219,814","7,768,366","$13.68","$5.37","$0.30","$0.11"
"Sertraline",2021,"39,206,397","8,478,900","$16.48","$5.68","$0.34","$0.11"
"Sertraline",2022,"39,891,990","8,422,729","$18.74","$6.17","$0.28","$0.11"
"Hydrochlorothiazide",2013,"49,854,894","10,064,252","$9.33","$4.35","$0.19","$0.09"
"Hydrochlorothiazide",2014,"50,428,398","9,887,223","$9.17","$4.52","$0.21","$0.09"
"Hydrochlorothiazide",2015,"47,899,739","9,468,393","$7.85","$3.69","$0.20","$0.08"
"Hydrochlorothiazide",2016,"43,472,270","8,721,363","$7.90","$3.07","$0.17","$0.07"
"Hydrochlorothiazide",2017,"42,037,081","8,767,947","$9.73","$3.39","$0.19","$0.07"
"Hydrochlorothiazide",2018,"40,575,075","8,869,933","$7.85","$3.26","$0.15","$0.07"
"Hydrochlorothiazide",2019,"38,609,803","9,358,879","$7.32","$3.47","$0.14","$0.07"
"Hydrochlorothiazide",2020,"41,476,098","10,031,904","$7.76","$3.67","$0.14","$0.08"
"Hydrochlorothiazide",2021,"39,038,822","9,665,980","$6.63","$2.76","$0.12","$0.05"
"Hydrochlorothiazide",2022,"38,153,288","9,758,721","$8.36","$3.02","$0.15","$0.06"
"Rosuvastatin",2013,"23,388,215","4,397,156","$285.22","$44.73","$5.37","$0.84"
"Rosuvastatin",2014,"24,760,853","4,341,816","$311.11","$62.63","$6.28","$1.13"
"Rosuvastatin",2015,"22,722,580","4,382,294","$300.96","$46.64","$7.03","$1.27"
"Rosuvastatin",2016,"19,917,442","4,081,955","$327.13","$44.26","$6.52","$0.85"
"Rosuvastatin",2017,"19,628,896","4,316,494","$133.92","$20.08","$2.63","$0.37"
"Rosuvastatin",2018,"24,138,061","5,257,942","$168.77","$16.58","$3.11","$0.37"
"Rosuvastatin",2019,"27,041,319","6,129,254","$123.75","$9.41","$2.14","$0.15"
"Rosuvastatin",2020,"29,750,488","7,393,686","$60.30","$9.79","$0.79","$0.17"
"Rosuvastatin",2021,"32,632,145","8,006,428","$35.90","$9.17","$0.68","$0.15"
"Rosuvastatin",2022,"37,095,971","9,721,324","$37.20","$12.57","$0.62","$0.18"
"Escitalopram",2013,"16,966,884","3,070,169","$54.58","$14.97","$1.53","$0.50"
"Escitalopram",2014,"19,639,202","3,533,893","$65.74","$11.05","$1.62","$0.21"
"Escitalopram",2015,"24,068,904","4,255,221","$58.68","$12.93","$1.62","$0.39"
"Escitalopram",2016,"25,240,490","4,664,108","$94.37","$15.57","$1.85","$0.28"
"Escitalopram",2017,"25,960,468","4,936,929","$53.03","$7.36","$1.58","$0.16"
"Escitalopram",2018,"25,978,773","5,544,406","$52.63","$7.80","$1.37","$0.21"
"Escitalopram",2019,"27,510,958","6,016,820","$44.11","$7.60","$1.27","$0.15"
"Escitalopram",2020,"30,605,646","6,342,599","$18.73","$7.31","$0.41","$0.17"
"Escitalopram",2021,"30,505,719","6,499,379","$31.69","$10.71","$1.11","$0.33"
"Escitalopram",2022,"30,750,612","7,493,104","$25.64","$8.75","$0.45","$0.17"
"Pantoprazole",2013,"18,429,676","3,671,457","$52.84","$7.84","$1.62","$0.21"
"Pantoprazole",2014,"22,942,486","4,810,185","$48.05","$7.68","$1.22","$0.19"
"Pantoprazole",2015,"24,723,892","5,027,653","$62.11","$8.01","$1.93","$0.17"
"Pantoprazole",2016,"25,270,699","5,610,675","$75.40","$7.50","$1.85","$0.18"
"Pantoprazole",2017,"27,081,977","6,039,765","$48.12","$6.76","$1.37","$0.18"
"Pantoprazole",2018,"29,047,796","6,541,003","$51.36","$6.35","$1.05","$0.15"
"Pantoprazole",2019,"28,880,217","6,777,996","$48.23","$6.54","$1.14","$0.15"
"Pantoprazole",2020,"26,604,040","6,814,036","$37.11","$7.14","$0.77","$0.14"
"Pantoprazole",2021,"27,347,488","7,310,342","$36.58","$7.60","$0.80","$0.17"
"Pantoprazole",2022,"30,670,528","7,979,792","$26.23","$8.23","$0.49","$0.19"
"Montelukast",2013,"25,670,058","5,125,348","$68.67","$9.83","$2.38","$0.29"
"Montelukast",2014,"25,670,394","5,806,804","$71.57","$9.44","$2.10","$0.26"
"Montelukast",2015,"24,496,294","5,054,345","$74.23","$8.52","$2.06","$0.31"
"Montelukast",2016,"25,326,687","5,939,265","$92.28","$10.17","$2.38","$0.32"
"Montelukast",2017,"31,953,728","6,564,356","$39.65","$7.74","$1.16","$0.24"
"Montelukast",2018,"35,256,041","7,017,347","$38.49","$7.08","$1.09","$0.18"
"Montelukast",2019,"32,154,358","7,429,725","$41.42","$7.20","$0.82","$0.12"
"Montelukast",2020,"31,984,479","7,227,021","$26.19","$5.70","$0.41","$0.11"
"Montelukast",2021,"30,996,712","7,119,519","$21.84","$6.16","$0.46","$0.11"
"Montelukast",2022,"29,187,952","6,825,788","$26.12","$6.52","$0.49","$0.12"
"Trazodone",2013,"23,174,484","4,169,577","$15.15","$5.03","$0.47","$0.18"
"Trazodone",2014,"25,521,675","4,644,510","$14.22","$3.26","$0.37","$0.09"
"Trazodone",2015,"27,564,196","5,067,496","$15.97","$3.00","$0.58","$0.11"
"Trazodone",2016,"25,300,258","4,843,314","$17.83","$3.77","$0.38","$0.10"
"Trazodone",2017,"22,311,417","4,695,513","$23.44","$4.12","$0.51","$0.10"
"Trazodone",2018,"23,893,771","4,681,286","$14.24","$4.61","$0.37","$0.12"
"Trazodone",2019,"23,934,213","5,066,449","$12.28","$5.09","$0.27","$0.11"
"Trazodone",2020,"26,210,731","5,294,364","$12.57","$5.06","$0.28","$0.11"
"Trazodone",2021,"26,310,083","5,322,910","$13.40","$4.34","$0.30","$0.09"
"Trazodone",2022,"27,363,318","5,759,352","$15.38","$5.41","$0.33","$0.10"
"Simvastatin",2013,"91,715,621","16,543,079","$32.75","$7.51","$0.55","$0.15"
"Simvastatin",2014,"81,518,801","15,980,581","$24.25","$6.33","$0.48","$0.12"
"Simvastatin",2015,"74,251,611","14,377,842","$30.32","$5.66","$0.56","$0.09"
"Simvastatin",2016,"65,144,488","13,157,238","$33.97","$5.40","$0.56","$0.09"
"Simvastatin",2017,"56,708,617","11,476,441","$25.96","$4.63","$0.47","$0.09"
"Simvastatin",2018,"48,030,491","10,407,988","$31.37","$5.43","$0.42","$0.09"
"Simvastatin",2019,"36,812,966","8,543,612","$34.18","$4.22","$0.27","$0.07"
"Simvastatin",2020,"36,600,871","8,557,525","$11.91","$3.30","$0.19","$0.05"
"Simvastatin",2021,"30,492,289","7,839,909","$16.51","$3.24","$0.24","$0.04"
"Simvastatin",2022,"26,459,069","6,986,630","$14.31","$3.05","$0.20","$0.04"
"Tamsulosin",2013,"16,636,914","3,573,783","$66.24","$11.71","$1.97","$0.22"
"Tamsulosin",2014,"16,180,283","3,857,033","$78.22","$9.74","$1.91","$0.26"
"Tamsulosin",2015,"19,713,737","4,468,866","$61.02","$12.03","$1.30","$0.29"
"Tamsulosin",2016,"22,533,461","4,997,405","$68.40","$9.62","$1.69","$0.21"
"Tamsulosin",2017,"20,313,916","4,778,124","$70.74","$10.21","$1.07","$0.19"
"Tamsulosin",2018,"23,254,004","5,943,933","$55.30","$10.29","$1.09","$0.18"
"Tamsulosin",2019,"21,934,065","5,309,654","$67.26","$9.37","$1.36","$0.19"
"Tamsulosin",2020,"24,692,402","5,856,108","$54.40","$12.06","$0.81","$0.20"
"Tamsulosin",2021,"23,540,060","6,474,672","$40.20","$9.15","$0.74","$0.15"
"Tamsulosin",2022,"25,306,357","6,758,617","$30.95","$8.81","$0.55","$0.16"
"Bupropion",2013,"22,887,827","4,283,549","$104.47","$18.32","$2.42","$0.46"
"Bupropion",2014,"25,051,660","4,675,195","$55.65","$12.74","$1.59","$0.31"
"Bupropion",2015,"26,198,463","4,823,796","$47.34","$11.59","$1.42","$0.33"
"Bupropion",2016,"23,811,613","4,244,113","$60.60","$11.81","$1.83","$0.34"
"Bupropion",2017,"24,903,971","4,834,834","$126.63","$16.95","$5.24","$0.57"
"Bupropion",2018,"24,488,843","5,046,780","$215.60","$15.08","$8.49","$0.43"
"Bupropion",2019,"25,722,873","5,520,278","$164.40","$14.25","$6.22","$0.35"
"Bupropion",2020,"28,889,368","5,801,282","$447.01","$179.70","$0.90","$0.40"
"Bupropion",2021,"29,099,445","6,412,363","$63.89","$14.35","$1.38","$0.27"
"Bupropion",2022,"25,197,923","6,111,736","$147.40","$14.57","$2.84","$0.26"
"Fluoxetine",2013,"23,602,619","4,261,449","$56.63","$12.37","$1.75","$0.41"
"Fluoxetine",2014,"23,867,188","4,377,384","$34.27","$7.87","$0.80","$0.25"
"Fluoxetine",2015,"28,311,454","4,819,230","$41.58","$6.44","$1.15","$0.17"
"Fluoxetine",2016,"23,729,286","4,412,198","$32.25","$7.21","$0.86","$0.12"
"Fluoxetine",2017,"21,913,275","4,272,429","$45.19","$10.85","$1.15","$0.33"
"Fluoxetine",2018,"25,619,277","4,752,127","$42.39","$9.26","$1.03","$0.23"
"Fluoxetine",2019,"27,110,302","5,143,421","$30.63","$6.16","$0.64","$0.12"
"Fluoxetine",2020,"23,403,050","4,717,183","$27.94","$6.53","$0.61","$0.15"
"Fluoxetine",2021,"22,686,838","4,764,311","$96.79","$10.25","$0.30","$0.16"
"Fluoxetine",2022,"24,014,263","5,174,534","$104.47","$7.65","$0.54","$0.19"
"Acetaminophen; Hydrocodone",2013,"58,483,370","19,957,098","$22.42","$8.19","$2.24","$1.02"
"Acetaminophen; Hydrocodone",2014,"68,756,036","22,680,630","$27.93","$9.34","$2.80","$1.08"
"Acetaminophen; Hydrocodone",2015,"51,279,737","17,197,929","$30.55","$7.78","$2.66","$0.83"
"Acetaminophen; Hydrocodone",2016,"43,109,574","13,981,228","$33.77","$9.59","$2.87","$0.97"
"Acetaminophen; Hydrocodone",2017,"40,123,144","12,008,386","$41.08","$9.83","$2.33","$1.00"
"Acetaminophen; Hydrocodone",2018,"42,073,176","12,268,763","$29.94","$11.90","$2.54","$0.98"
"Acetaminophen; Hydrocodone",2019,"30,355,778","10,409,764","$27.25","$8.49","$2.05","$0.76"
"Acetaminophen; Hydrocodone",2020,"30,100,356","8,587,152","$23.14","$7.91","$1.81","$0.63"
"Acetaminophen; Hydrocodone",2021,"26,599,439","8,616,204","$22.93","$7.55","$1.97","$0.72"
"Acetaminophen; Hydrocodone",2022,"23,521,228","7,972,417","$26.29","$7.52","$1.96","$0.75"
"Furosemide",2013,"36,808,447","7,048,953","$7.70","$3.60","$0.20","$0.09"
"Furosemide",2014,"37,086,211","7,057,262","$7.51","$3.28","$0.18","$0.08"
"Furosemide",2015,"35,455,536","7,168,492","$7.51","$2.74","$0.20","$0.06"
"Furosemide",2016,"32,692,726","5,874,280","$7.60","$2.16","$0.18","$0.05"
"Furosemide",2017,"30,482,988","5,915,553","$8.11","$2.79","$0.17","$0.07"
"Furosemide",2018,"29,826,088","6,324,186","$9.27","$2.92","$0.18","$0.07"
"Furosemide",2019,"28,352,226","6,640,042","$10.62","$3.18","$0.21","$0.06"
"Furosemide",2020,"26,786,296","6,405,654","$7.34","$2.75","$0.14","$0.05"
"Furosemide",2021,"26,376,404","6,473,988","$8.54","$2.93","$0.17","$0.05"
"Furosemide",2022,"23,067,424","5,845,466","$8.94","$2.63","$0.16","$0.05"
"Fluticasone",2013,"25,495,021","8,985,539","$64.85","$12.92","$1.98","$0.43"
"Fluticasone",2014,"30,573,156","10,268,000","$65.80","$11.47","$2.28","$0.32"
"Fluticasone",2015,"26,484,229","9,060,412","$66.92","$9.54","$2.25","$0.25"
"Fluticasone",2016,"27,626,769","9,191,041","$71.18","$12.08","$2.27","$0.33"
"Fluticasone",2017,"26,893,755","9,518,848","$70.91","$11.87","$2.13","$0.37"
"Fluticasone",2018,"27,798,694","9,228,197","$93.18","$13.76","$2.53","$0.46"
"Fluticasone",2019,"27,893,102","9,564,147","$97.68","$12.38","$3.72","$0.36"
"Fluticasone",2020,"24,777,490","7,805,740","$94.27","$14.71","$2.13","$0.41"
"Fluticasone",2021,"25,283,015","7,859,173","$116.29","$12.84","$2.52","$0.36"
"Fluticasone",2022,"22,557,458","7,453,010","$94.76","$8.87","$2.71","$0.22"
"Amoxicillin",2013,"26,150,263","20,070,686","$9.64","$5.29","$1.19","$0.60"
"Amoxicillin",2014,"27,585,663","20,965,985","$10.53","$5.32","$1.21","$0.65"
"Amoxicillin",2015,"28,757,614","21,512,862","$9.30","$4.46","$1.36","$0.61"
"Amoxicillin",2016,"28,117,284","21,024,473","$10.08","$4.01","$1.52","$0.47"
"Amoxicillin",2017,"27,913,807","19,461,708","$11.45","$4.69","$1.62","$0.58"
"Amoxicillin",2018,"30,773,100","21,230,680","$9.64","$4.25","$1.25","$0.49"
"Amoxicillin",2019,"25,702,634","20,368,921","$10.01","$4.57","$1.23","$0.52"
"Amoxicillin",2020,"15,922,907","12,780,652","$9.75","$4.65","$1.31","$0.67"
"Amoxicillin",2021,"16,657,138","13,130,571","$9.16","$3.76","$1.29","$0.53"
"Amoxicillin",2022,"20,465,164","15,998,871","$9.50","$4.44","$1.43","$0.71"
"Apixaban",2014,"1,291,432","282,698","$305.50","$24.76","$21.27","$7.03"
"Apixaban",2015,"3,344,741","821,405","$452.48","$71.68","$11.11","$2.45"
"Apixaban",2016,"5,833,149","1,079,418","$508.26","$71.16","$11.63","$1.79"
"Apixaban",2017,"8,662,640","1,653,990","$515.32","$80.54","$11.91","$2.16"
"Apixaban",2018,"12,113,153","2,560,506","$544.01","$63.01","$13.56","$1.71"
"Apixaban",2019,"14,042,889","3,037,557","$681.07","$68.18","$14.92","$1.63"
"Apixaban",2020,"13,918,650","3,305,979","$740.02","$74.12","$13.86","$1.58"
"Apixaban",2021,"17,933,195","4,021,147","$733.99","$75.24","$12.45","$1.68"
"Apixaban",2022,"19,420,949","4,494,660","$861.76","$89.17","$15.13","$2.02"
"Insulin Glargine",2013,"19,049,030","3,099,784","$320.25","$53.98","$9.57","$1.84"
"Insulin Glargine",2014,"20,384,788","3,594,336","$419.71","$41.41","$12.33","$1.10"
"Insulin Glargine",2015,"22,223,562","3,420,496","$498.14","$39.64","$13.43","$0.88"
"Insulin Glargine",2016,"26,201,314","4,623,755","$521.46","$49.53","$12.65","$1.10"
"Insulin Glargine",2017,"20,739,393","3,526,914","$544.82","$38.37","$12.96","$0.85"
"Insulin Glargine",2018,"25,542,161","4,438,878","$563.85","$49.53","$13.35","$1.10"
"Insulin Glargine",2019,"19,211,653","3,708,654","$538.66","$37.91","$11.51","$0.89"
"Insulin Glargine",2020,"17,973,209","3,662,505","$486.52","$43.62","$12.13","$1.13"
"Insulin Glargine",2021,"19,873,255","3,901,230","$562.27","$36.17","$12.54","$0.80"
"Insulin Glargine",2022,"18,983,905","3,808,867","$508.95","$40.40","$11.93","$0.96"
"Meloxicam",2013,"16,678,131","4,990,712","$22.17","$5.10","$0.60","$0.13"
"Meloxicam",2014,"21,630,829","5,610,376","$19.57","$4.51","$0.72","$0.14"
"Meloxicam",2015,"22,292,807","6,042,075","$30.47","$3.42","$1.10","$0.10"
"Meloxicam",2016,"21,290,692","5,858,488","$40.28","$4.56","$1.06","$0.09"
"Meloxicam",2017,"19,793,506","5,706,077","$18.71","$3.77","$0.66","$0.13"
"Meloxicam",2018,"22,610,690","6,340,662","$17.06","$3.94","$0.44","$0.13"
"Meloxicam",2019,"21,459,849","6,484,210","$27.66","$4.07","$0.33","$0.11"
"Meloxicam",2020,"19,808,581","6,057,630","$8.37","$4.12","$0.17","$0.10"
"Meloxicam",2021,"18,226,904","5,819,321","$7.90","$3.08","$0.17","$0.07"
"Meloxicam",2022,"18,859,721","6,284,853","$9.05","$2.49","$0.25","$0.06"
"Prednisone",2013,"24,048,836","9,467,529","$9.20","$4.30","$0.69","$0.34"
"Prednisone",2014,"24,212,143","10,767,289","$10.49","$4.41","$0.91","$0.36"
"Prednisone",2015,"22,864,052","10,858,348","$8.94","$4.10","$0.83","$0.35"
"Prednisone",2016,"23,242,849","10,837,787","$9.95","$3.54","$1.03","$0.38"
"Prednisone",2017,"25,028,445","10,751,011","$8.61","$3.62","$0.91","$0.32"
"Prednisone",2018,"27,057,494","11,300,598","$8.14","$3.69","$0.90","$0.39"
"Prednisone",2019,"22,889,929","10,999,246","$9.41","$3.50","$1.00","$0.34"
"Prednisone",2020,"19,044,926","9,203,354","$10.70","$4.16","$0.69","$0.33"
"Prednisone",2021,"19,898,457","8,660,906","$10.53","$3.83","$0.74","$0.25"
"Prednisone",2022,"18,201,857","8,722,579","$9.43","$3.92","$0.94","$0.37"
"Duloxetine",2013,"15,393,654","2,713,243","$358.66","$33.07","$10.16","$0.89"
"Duloxetine",2014,"15,035,299","2,569,369","$224.89","$31.31","$7.54","$0.86"
"Duloxetine",2015,"17,890,815","2,804,666","$130.63","$22.06","$5.02","$0.76"
"Duloxetine",2016,"15,377,184","2,830,005","$191.50","$15.74","$4.08","$0.33"
"Duloxetine",2017,"16,471,666","3,256,633","$116.86","$12.79","$2.72","$0.31"
"Duloxetine",2018,"21,217,653","3,946,472","$115.33","$12.99","$3.22","$0.31"
"Duloxetine",2019,"23,821,965","4,296,613","$79.42","$14.49","$1.79","$0.33"
"Duloxetine",2020,"22,546,920","4,461,604","$28.18","$12.16","$0.62","$0.25"
"Duloxetine",2021,"20,012,841","4,444,533","$32.67","$13.12","$0.67","$0.26"
"Duloxetine",2022,"18,066,468","4,042,916","$26.47","$10.92","$0.51","$0.22"
"Methylphenidate",2013,"13,477,265","1,944,292","$146.69","$11.98","$4.58","$0.32"
"Methylphenidate",2014,"15,505,256","2,414,313","$153.79","$15.86","$4.69","$0.59"
"Methylphenidate",2015,"14,521,828","2,146,616","$170.93","$28.31","$5.73","$1.21"
"Methylphenidate",2016,"15,599,244","2,394,875","$177.70","$20.81","$5.63","$0.75"
"Methylphenidate",2017,"16,450,268","2,513,348","$191.00","$23.19","$5.69","$0.94"
"Methylphenidate",2018,"17,467,265","2,569,210","$240.05","$17.65","$7.99","$0.42"
