Sum of wage,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,3889.49,2068.68,3070.21,2735.45,4725.99,4016.01,5063.24,4693.81,4969.86,4818.95,5332.47,5704.88,6775.24,9378.78,7059.57,3153.09,5798.84,7128.12,7369.33,2319.88,3655.99,5172.37,3360.25,4444.55,6091.29,5852.63,5699.35,5278.7,8484.35,8550.89,8401.81,5862.54,3303,9355.53,7905.52,5585.68,5274.17,9865.61,6756.09,3512.32,9226.26,3190.31,7604.39,4212.45,7629.47,4042.48,4267.56,5519.76,688.51,1682.57,868.78,142.45,686.13,,,,,,,,272245.65
10,,,4839.56,4429.94,5537.61,5399.89,5205.38,8225.2,9545.9,7482.11,16426.95,12266.33,11902.1,10497.82,9605.51,10754.21,9674.22,7913.56,11041.13,8378.62,7716.99,5830.99,11646.09,7956.93,9173.5,10048.11,12874.7,12194.67,24906.67,12252.63,14129.85,10346.55,16078.23,10783.13,10155.87,9045.92,12994.69,8050.33,17394.38,8472.69,12616.79,11583.74,9890.74,14740.59,11376.7,12703.88,8719.9,7754.51,3492.69,3737.43,2704.6,2404.76,475.65,1000.03,167.97,,,,,,,,,494548.94
11,,7134.27,6763.44,11025.29,10394.79,9350.42,11149.36,9497.95,12787.74,14532.17,20861.08,15121.96,15435.78,16487.95,16105.63,15665.97,11258.78,9176.73,11106.57,10232.42,8152.71,7831.6,6895.22,9362.59,8528.29,7073.12,13744.58,5707.24,6657.54,8457.21,7878.24,14700.09,17141.44,9808.39,6925.36,8804.08,13233.49,6292.33,8072.51,11803.07,7073.58,6360.19,10745.91,6236.95,8775.65,7576.96,6454.54,3409.56,5225.76,3990.97,197.06,358.89,607.26,743.91,,,,,,,,,,488914.59
12,49261.81,60961.64,60501.3,82645.85,86699.07,120208.29,135737.15,153218,150994.61,164676.32,174963.03,193720.37,200684.01,197243.44,187593.25,188960.84,170772,177213.65,153107.35,153594.02,145088.9,119734.4,160070.29,124981.54,138052.56,134976.35,116269.78,129085.25,114041.12,115640.83,112541.51,113896.41,82255.49,94779.33,113191.51,100035.84,72320.86,73238.93,85814.75,64214.89,124693.57,76982.65,70418.63,55771.42,58519.8,39645.55,31473.9,23258.16,20205.17,15228.22,8649.88,10061.94,10480.7,,,,,,,,,,,5618376.13
13,28451.8,19544.71,19563.27,21664.99,27944.91,22986.87,27275.35,26430.24,26925,26050.67,32810.16,32047.23,27235.8,40516.08,28963.06,30235.17,36630.36,32483.5,40940.99,30729.52,31733.58,30122.87,33371.51,27273.53,15398.32,25238.22,41287.99,21437.54,17395.33,14446.48,17411.2,18539.74,20776.08,17235.79,18790.08,11952.73,8902.61,15820.52,11354.13,10869.16,5272.96,13395.86,9621.13,2298.1,9347.28,3406.15,3414.75,3494.12,209.19,282.02,474.83,531.25,,,,,,,,,,,,1040534.73
14,29193.72,20403.2,25362.17,27440.55,35399.89,34830.82,55577.84,49564.24,42735.53,53730.48,60438.68,62528.34,64556.01,63923.81,58649.65,59705.75,63227.63,66325.34,63673.75,68562.36,67375.71,68501.97,43616.7,55256,48528.51,50106.34,37888.95,44014.08,26760.28,29357.66,34942.12,25562.15,38416.05,21192.92,24900.95,22515.77,36244.96,19340.03,15854.86,17723.19,14352.47,10994.08,7522.32,7359.9,7431.37,2681.83,8084.57,7167.98,920.94,1899.33,1728.4,,,,,,,,,,,,,1804072.15
15,20002.36,14482.96,16049.28,13256.53,26740.78,16043.91,14067.63,20897.49,18847.06,24679.23,18168.55,18018.96,18703.17,23272.97,21392.14,26620.08,21640.17,19831.51,27226.29,28492.15,21093.22,16126.49,13907.19,16594.74,15494.46,13457.39,7920.47,13351.92,3799.58,11688.85,9102.36,9131.75,7540.4,8757.69,5596.03,9329.37,11394.47,2610.2,3162.07,5935.43,6271.12,913.58,3812.92,2016.17,1394.48,1416.58,3613.31,1756.89,1211.47,429.96,,,,,,,,,,,,,,637263.78
16,29357.04,49632.66,58369.29,98422.77,84076.41,93773.03,88776.41,115726.32,108810.78,128561.48,97438.78,107310.21,95348.69,126985.55,116287.69,98149.25,90431.12,111810.44,151865.25,107800.14,64140.02,63965.26,81794.19,71582.58,53638.28,49459.01,34533.79,40554.99,51347.23,58112.7,46865.01,40705.42,39233.4,27564.79,32823.62,41461.97,32680.8,26414.08,25216.34,23418.91,26376.32,28181.88,12515.43,9759.35,9170.89,12655.74,7312.2,5383.56,2526.52,,,,,,,,,,,,,,,2978327.59
17,5350.07,10871.37,14089.06,15093.53,19448.53,10986.26,15917.08,19276.23,21013.08,20705.19,19841.89,24076.63,19442.23,27872.09,26173.41,25278.33,28262.97,38864.85,28589.15,24105.58,32506.38,25549.41,17695.03,25625.26,11355.4,14295.58,14227.82,8527.45,11425.33,12514.61,12572.23,17477.86,6647.66,5142.06,4818.19,7664.77,6091.46,5279.01,5492.41,2552.23,3323.84,8393.74,787.65,1329.53,900.6,820.27,61.73,,,,,,,,,,,,,,,,,678335.04
18,10674.98,14328.7,24158.48,34668.52,47788.83,36533.47,57821.67,58039.46,50432.68,60549.71,81891.14,93414.68,86289.83,85372.63,77383.1,100181.25,98052.1,108260.43,88778,78181.17,80683.13,82504.18,54365.83,66593.06,65796.74,49834.48,60015.91,45683.23,55688.26,43078.17,40243.09,24950.84,37481.29,27765.15,46031.59,24650.68,30608.41,8209.4,14336.61,22161.95,12421.77,13026.65,8810.02,7241.34,4855.33,2569.71,751.94,,,,,,,,,,,,,,,,,2223159.59
Grand Total,172291.78,197359.51,229695.85,312537.46,347317.14,354637.63,416656.54,468007.13,448591.03,510057.79,531104.29,567188.62,548670.36,604134.51,553413.15,571604.28,547215.63,583011.14,596324.01,527549.4,474975.8,438492.63,441262.25,418661.62,386247.02,369488.45,361211.63,338975.28,330002.92,326202.72,313793.31,303592.78,285922.37,248537.06,286235.18,254286.65,242525.75,191019.61,212507.82,186608.72,247160.98,199920.54,162635.37,141080.75,132526.11,113991.66,95110.97,79210.73,59466.1,47893.84,32873.21,23186.28,21993.69,9972.2,13005.33,4816.58,4894.62,2267.24,1108.94,7716.05,517.12,289.65,370.37,16899925.15
