Job Title,Level,Job Title Full,Salary Estimate,Salary_Min,Salary_Max,Salary_Avg,Rating,Company Name,Glassdoor_Rating,Location,Location_State,Company_Headquarters,Company_Size,Founded,Type of ownership,Industry,Sector,Revenue (USD)
Associate Research Scientist I (Protein Expression and Production),Associate,,$59K-$116K ,"$59,000","$116,000 ","$87,500 ",3,"Exelixis
",3,"Alameda, CA",CA,"Alameda, CA",501 to 1000 employees,1994,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Associate Scientist,Associate,,$51K-$112K ,"$51,000","$112,000 ","$81,500 ",2.9,"Pharmavite
",2.9,"Valencia, CA",CA,"West Hills, CA",1001 to 5000 employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion 
"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",Associate,,$59K-$125K ,"$59,000","$125,000 ","$92,000 ",4,"23andMe
",4,"South San Francisco, CA",CA,"Sunnyvale, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Associate Scientist, LC/MS Biologics",Associate,,$44K-$96K ,"$44,000","$96,000 ","$70,000 ",2.9,"Q2 Solutions
",2.9,"Ithaca, NY",NY,"Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Associate Scientist, LC/MS Biologics",Associate,,$44K-$96K ,"$44,000","$96,000 ","$70,000 ",2.9,"Q2 Solutions
",2.9,"Ithaca, NY",NY,"Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Associate Scientist, LC/MS Biologics",Associate,,$44K-$96K ,"$44,000","$96,000 ","$70,000 ",2.9,"Q2 Solutions
",2.9,"Ithaca, NY",NY,"Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",Associate,,$88K-$162K ,"$88,000","$162,000 ","$125,000 ",3.9,"Genentech
",3.9,"South San Francisco, CA",CA,"South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
BI & Platform Analytics Manager,,,$85K-$134K ,"$85,000","$134,000 ","$109,500 ",3.4,"Church & Dwight
",3.4,"Ewing, NJ",NJ,"Ewing, NJ",1001 to 5000 employees,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion 
BI & Platform Analytics Manager,,,$85K-$134K ,"$85,000","$134,000 ","$109,500 ",3.4,"Church & Dwight
",3.4,"Ewing, NJ",NJ,"Ewing, NJ",1001 to 5000 employees,1846,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion 
Business Analyst,,,$53K-$105K ,"$53,000","$105,000 ","$79,000 ",4.3,"Dayton Freight Lines, Inc.
",4.3,"Dayton, OH",OH,"Dayton, OH",1001 to 5000 employees,1981,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$31K-$55K ,"$31,000","$55,000 ","$43,000 ",4.6,"GreatAmerica Financial Services
",4.6,"Cedar Rapids, IA",IA,"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million 
Data Analyst,,Data Analyst,$31K-$55K ,"$31,000","$55,000 ","$43,000 ",4.6,"GreatAmerica Financial Services
",4.6,"Cedar Rapids, IA",IA,"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million 
Data Analyst,,Data Analyst,$36K-$71K ,"$36,000","$71,000 ","$53,500 ",3.8,"Fareportal
",3.8,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion 
Data Analyst,,Data Analyst,$36K-$71K ,"$36,000","$71,000 ","$53,500 ",3.8,"Fareportal
",3.8,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion 
Data Analyst,,Data Analyst,$44K-$86K ,"$44,000","$86,000 ","$65,000 ",3.8,"Fareportal
",3.8,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion 
Data Analyst,,Data Analyst,$52K-$89K ,"$52,000","$89,000 ","$70,500 ",4.1,"ManTech
",4.1,"Portsmouth, VA",VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion 
Data Analyst,,Data Analyst,$27K-$48K ,"$27,000","$48,000 ","$37,500 ",3,"Greenway Health
",3,"Tampa, FL",FL,"Tampa, FL",1001 to 5000 employees,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million 
Data Analyst,,Data Analyst,$27K-$48K ,"$27,000","$48,000 ","$37,500 ",3,"Greenway Health
",3,"Tampa, FL",FL,"Tampa, FL",1001 to 5000 employees,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million 
Data Analyst,,Data Analyst,$43K-$77K ,"$43,000","$77,000 ","$60,000 ",3.8,"Associated Banc-Corp
",3.8,"Green Bay, WI",WI,"Green Bay, WI",1001 to 5000 employees,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion 
Data Analyst,,Data Analyst,$43K-$77K ,"$43,000","$77,000 ","$60,000 ",3.8,"Associated Banc-Corp
",3.8,"Green Bay, WI",WI,"Green Bay, WI",1001 to 5000 employees,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion 
Data Analyst,,Data Analyst,$91K-$138K ,"$91,000","$138,000 ","$114,500 ",4.7,"Systems Evolution Inc.
",4.7,"New York, NY",NY,"Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million 
Data Analyst,,Data Analyst,$46K-$85K ,"$46,000","$85,000 ","$65,500 ",4.1,"Yesler
",4.1,"Seattle, WA",WA,"Seattle, WA",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$64K-$112K ,"$64,000","$112,000 ","$88,000 ",4.2,"Sauce Labs
",4.2,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million 
Data Analyst,,Data Analyst,$55K-$100K ,"$55,000","$100,000 ","$77,500 ",4.3,"Productive Edge
",4.3,"Chicago, IL",IL,"Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million 
Data Analyst,,Data Analyst,$39K-$68K ,"$39,000","$68,000 ","$53,500 ",4.4,"Gensco
",4.4,"Tacoma, WA",WA,"Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million 
Data Analyst,,Data Analyst,$40K-$73K ,"$40,000","$73,000 ","$56,500 ",3.1,"DentaQuest
",3.1,"Milwaukee, WI",WI,"Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion 
Data Analyst,,Data Analyst,$43K-$81K ,"$43,000","$81,000 ","$62,000 ",2.3,"Synagro
",2.3,"Baltimore, MD",MD,"Baltimore, MD",501 to 1000 employees,1986,Company - Private,Research & Development,Business Services,$100 to $500 million 
Data Analyst,,Data Analyst,$65K-$120K ,"$65,000","$120,000 ","$92,500 ",3.1,"NCSOFT
",3.1,"San Mateo, CA",CA,"Seoul, South Korea",1001 to 5000 employees,1997,Company - Public,Video Games,Media,$10+ billion 
Data Analyst,,Data Analyst,$33K-$62K ,"$33,000","$62,000 ","$47,500 ",2.8,"Community Action Partnership of San Luis Obispo
",2.8,"Parlier, CA",CA,"San Luis Obispo, CA",501 to 1000 employees,,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million 
Data Analyst,,Data Analyst,$48K-$90K ,"$48,000","$90,000 ","$69,000 ",3.4,"TrueAccord
",3.4,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$34K-$64K ,"$34,000","$64,000 ","$49,000 ",4,"DRB Systems
",4,"Meridian, ID",ID,"Akron, OH",201 to 500 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million 
Data Analyst,,Data Analyst,$50K-$92K ,"$50,000","$92,000 ","$71,000 ",3.7,"CALIBRE Systems
",3.7,"Alexandria, VA",VA,"Alexandria, VA",501 to 1000 employees,1989,Company - Private,IT Services,Information Technology,$100 to $500 million 
Data Analyst,,Data Analyst,$50K-$92K ,"$50,000","$92,000 ","$71,000 ",3.7,"CALIBRE Systems
",3.7,"Alexandria, VA",VA,"Alexandria, VA",501 to 1000 employees,1989,Company - Private,IT Services,Information Technology,$100 to $500 million 
Data Analyst,,Data Analyst,$42K-$77K ,"$42,000","$77,000 ","$59,500 ",3.1,"Success Academy Charter Schools
",3.1,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2006,School / School District,K-12 Education,Education,$100 to $500 million 
Data Analyst,,Data Analyst,$47K-$85K ,"$47,000","$85,000 ","$66,000 ",3.6,"AXION Healthcare Solutions
",3.6,"New York, NY",NY,"New York, NY",1 to 50 employees,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million 
Data Analyst,,Data Analyst,$47K-$85K ,"$47,000","$85,000 ","$66,000 ",3.6,"AXION Healthcare Solutions
",3.6,"New York, NY",NY,"New York, NY",1 to 50 employees,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million 
Data Analyst,,Data Analyst,$71K-$136K ,"$71,000","$136,000 ","$103,500 ",4.3,"Maximus Real Estate Partners
",4.3,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$52K-$93K ,"$52,000","$93,000 ","$72,500 ",4.2,"Scientific Research Corporation
",4.2,"Patuxent River, MD",MD,"Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million 
Data Analyst,,Data Analyst,$35K-$65K ,"$35,000","$65,000 ","$50,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Salt Lake City, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$35K-$65K ,"$35,000","$65,000 ","$50,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Salt Lake City, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$53K-$91K ,"$53,000","$91,000 ","$72,000 ",4.2,"The Church of Jesus Christ of Latter-day Saints
",4.2,"Salt Lake City, UT",UT,"Salt Lake City, UT",10000+ employees,,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$61K-$110K ,"$61,000","$110,000 ","$85,500 ",2.2,"Rodan and Fields, LLC
",2.2,"San Francisco, CA",CA,"San Francisco, CA",501 to 1000 employees,2002,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$54K-$92K ,"$54,000","$92,000 ","$73,000 ",3.6,"Beckman Coulter Diagnostics
",3.6,"New York, NY",NY,"Brea, CA",10000+ employees,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion 
Data Analyst,,Data Analyst,$26K-$55K ,"$26,000","$55,000 ","$40,500 ",3.8,"Full Potential Solutions
",3.8,"Kansas City, MO",MO,"Kansas City, MO",501 to 1000 employees,2017,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$34K-$92K ,"$34,000","$92,000 ","$63,000 ",3.6,"MassMutual
",3.6,"Springfield, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Analyst,,Data Analyst,$34K-$92K ,"$34,000","$92,000 ","$63,000 ",3.6,"MassMutual
",3.6,"Springfield, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Analyst,,Data Analyst,$41K-$95K ,"$41,000","$95,000 ","$68,000 ",4.6,"Torch Technologies, Inc.
",4.6,"Huntsville, AL",AL,"Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million 
Data Analyst,,Data Analyst,$31K-$72K ,"$31,000","$72,000 ","$51,500 ",3.6,"Vionic Group
",3.6,"San Rafael, CA",CA,"San Rafael, CA",51 to 200 employees,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million 
Data Analyst,,Data Analyst,$31K-$72K ,"$31,000","$72,000 ","$51,500 ",3.6,"Vionic Group
",3.6,"San Rafael, CA",CA,"San Rafael, CA",51 to 200 employees,2006,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million 
Data Analyst,,Data Analyst,$34K-$62K ,"$34,000","$62,000 ","$48,000 ",3.5,"iSeatz
",3.5,"New Orleans, LA",LA,"New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$44K-$78K ,"$44,000","$78,000 ","$61,000 ",4.1,"Associated Electric Cooperative
",4.1,"Springfield, MO",MO,"Springfield, MO",501 to 1000 employees,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion 
Data Analyst,,Data Analyst,$44K-$78K ,"$44,000","$78,000 ","$61,000 ",4.1,"Associated Electric Cooperative
",4.1,"Springfield, MO",MO,"Springfield, MO",501 to 1000 employees,1961,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion 
Data Analyst,,Data Analyst,$41K-$72K ,"$41,000","$72,000 ","$56,500 ",4.7,"CentralReach
",4.7,"Matawan, NJ",NJ,"Pompano Beach, FL",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$32K-$57K ,"$32,000","$57,000 ","$44,500 ",3.4,"DESC
",3.4,"Seattle, WA",WA,"Seattle, WA",501 to 1000 employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million 
Data Analyst,,Data Analyst,$42K-$74K ,"$42,000","$74,000 ","$58,000 ",4.3,"OceanFirst Financial
",4.3,"Red Bank, NJ",NJ,"Toms River, NJ",501 to 1000 employees,1902,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion 
Data Analyst,,Data Analyst,$42K-$80K ,"$42,000","$80,000 ","$61,000 ",3.7,"Motorola Solutions
",3.7,"Chicago, IL",IL,"Chicago, IL",10000+ employees,1928,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion 
Data Analyst,,Data Analyst,$42K-$80K ,"$42,000","$80,000 ","$61,000 ",3.7,"Motorola Solutions
",3.7,"Chicago, IL",IL,"Chicago, IL",10000+ employees,1928,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion 
Data Analyst,,Data Analyst,$45K-$82K ,"$45,000","$82,000 ","$63,500 ",4.2,"Clearwater Analytics
",4.2,"Boise, ID",ID,"Boise, ID",501 to 1000 employees,2004,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million 
Data Analyst,,Data Analyst,$31K-$57K ,"$31,000","$57,000 ","$44,000 ",3.4,"SV Microwave
",3.4,"West Palm Beach, FL",FL,"West Palm Beach, FL",201 to 500 employees,1991,Company - Public,Telecommunications Manufacturing,Telecommunications,$50 to $100 million 
Data Analyst,,Data Analyst,$31K-$57K ,"$31,000","$57,000 ","$44,000 ",3.4,"SV Microwave
",3.4,"West Palm Beach, FL",FL,"West Palm Beach, FL",201 to 500 employees,1991,Company - Public,Telecommunications Manufacturing,Telecommunications,$50 to $100 million 
Data Analyst,,Data Analyst,$35K-$62K ,"$35,000","$62,000 ","$48,500 ",3.6,"San Manuel Casino
",3.6,"Highland, CA",CA,"Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million 
Data Analyst,,Data Analyst,$36K-$62K ,"$36,000","$62,000 ","$49,000 ",3.9,"Citadel Federal Credit Union
",3.9,"Exton, PA",PA,"Exton, PA",501 to 1000 employees,1937,Nonprofit Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$35K-$62K ,"$35,000","$62,000 ","$48,500 ",3.6,"San Manuel Casino
",3.6,"Highland, CA",CA,"Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million 
Data Analyst,,Data Analyst,$36K-$62K ,"$36,000","$62,000 ","$49,000 ",3.9,"Citadel Federal Credit Union
",3.9,"Exton, PA",PA,"Exton, PA",501 to 1000 employees,1937,Nonprofit Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$35K-$62K ,"$35,000","$62,000 ","$48,500 ",3.6,"San Manuel Casino
",3.6,"Highland, CA",CA,"Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million 
Data Analyst,,Data Analyst,$35K-$62K ,"$35,000","$62,000 ","$48,500 ",3.6,"San Manuel Casino
",3.6,"Highland, CA",CA,"Highland, CA",1001 to 5000 employees,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million 
Data Analyst,,Data Analyst,$44K-$86K ,"$44,000","$86,000 ","$65,000 ",3.8,"Fareportal
",3.8,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion 
Data Analyst,,Data Analyst,$44K-$86K ,"$44,000","$86,000 ","$65,000 ",3.8,"Fareportal
",3.8,"New York, NY",NY,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion 
Data Analyst,,Data Analyst,$90K-$157K ,"$90,000","$157,000 ","$123,500 ",3.3,"TriNet
",3.3,"Dublin, CA",CA,"Dublin, CA",1001 to 5000 employees,1988,Company - Public,Consulting,Business Services,$2 to $5 billion 
Data Analyst,,Data Analyst,$90K-$157K ,"$90,000","$157,000 ","$123,500 ",3.3,"TriNet
",3.3,"Dublin, CA",CA,"Dublin, CA",1001 to 5000 employees,1988,Company - Public,Consulting,Business Services,$2 to $5 billion 
Data Analyst,,Data Analyst,$55K-$99K ,"$55,000","$99,000 ","$77,000 ",3.4,"General Dynamics Information Technology
",3.4,"Washington, DC",DC,"Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion 
Data Analyst,,Data Analyst,$65K-$130K ,"$65,000","$130,000 ","$97,500 ",4,"HP Inc.
",4,"Vancouver, WA",WA,"Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$42K-$76K ,"$42,000","$76,000 ","$59,000 ",4.7,"DECISIVE ANALYTICS Corporation
",4.7,"Huntsville, AL",AL,"Arlington, VA",51 to 200 employees,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million 
Data Analyst,,Data Analyst,$42K-$76K ,"$42,000","$76,000 ","$59,000 ",4.7,"DECISIVE ANALYTICS Corporation
",4.7,"Huntsville, AL",AL,"Arlington, VA",51 to 200 employees,1996,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million 
Data Analyst,,Data Analyst,$52K-$93K ,"$52,000","$93,000 ","$72,500 ",2.1,"United BioSource
",2.1,"Blue Bell, PA",PA,"Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million 
Data Analyst,,Data Analyst,$60K-$102K ,"$60,000","$102,000 ","$81,000 ",3.6,"MassMutual
",3.6,"Springfield, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Analyst,,Data Analyst,$58K-$108K ,"$58,000","$108,000 ","$83,000 ",3.2,"DoubleVerify
",3.2,"New York, NY",NY,"New York, NY",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$50K-$89K ,"$50,000","$89,000 ","$69,500 ",3.7,"Community Behavioral Health
",3.7,"Philadelphia, PA",PA,"Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion 
Data Analyst,,Data Analyst,$33K-$61K ,"$33,000","$61,000 ","$47,000 ",3.1,"Icon Health and Fitness
",3.1,"Logan, UT",UT,"Logan, UT",1001 to 5000 employees,1977,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion 
Data Analyst,,Data Analyst,$55K-$97K ,"$55,000","$97,000 ","$76,000 ",4.2,"SullivanCotter
",4.2,"Minneapolis, MN",MN,"Chicago, IL",201 to 500 employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$42K-$76K ,"$42,000","$76,000 ","$59,000 ",3.7,"Corcentric
",3.7,"Cherry Hill, NJ",NJ,"Cherry Hill, NJ",201 to 500 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,,Data Analyst,$49K-$76K ,"$49,000","$76,000 ","$62,500 ",3.7,"Raytheon
",3.7,"Huntsville, AL",AL,"Waltham, MA",10000+ employees,1922,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion 
Data Analyst,,Data Analyst,$49K-$76K ,"$49,000","$76,000 ","$62,500 ",3.7,"Raytheon
",3.7,"Huntsville, AL",AL,"Waltham, MA",10000+ employees,1922,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion 
Data Analyst,,Data Analyst,$77K-$135K ,"$77,000","$135,000 ","$106,000 ",4.2,"Clarity Insights
",4.2,"San Jose, CA",CA,"Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,Associate,Data Analyst - Associate,$34K-$61K ,"$34,000","$61,000 ","$47,500 ",3.7,"The Hanover Insurance Group
",3.7,"Worcester, MA",MA,"Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion 
Data Analyst,Associate,Data Analyst - Associate,$20K-$39K ,"$20,000","$39,000 ","$29,500 ",3.1,"Intrado
",3.1,"Longmont, CO",CO,"Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion 
Data Analyst,Associate,Data Analyst - Associate,$32K-$59K ,"$32,000","$59,000 ","$45,500 ",3.3,"National Interstate
",3.3,"Richfield, OH",OH,"Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Analyst,Associate,Data Analyst - Associate,$32K-$59K ,"$32,000","$59,000 ","$45,500 ",3.3,"National Interstate
",3.3,"Richfield, OH",OH,"Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Analyst,Associate,Data Analyst - Associate,$32K-$59K ,"$32,000","$59,000 ","$45,500 ",3.3,"National Interstate
",3.3,"Richfield, OH",OH,"Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Analyst,Associate,Data Analyst - Associate,$39K-$69K ,"$39,000","$69,000 ","$54,000 ",3.7,"The Hanover Insurance Group
",3.7,"Worcester, MA",MA,"Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion 
